state_name,county_name,city_name,level,date,link,type,type_name
Alabama,,,state,2020-03-13,https://governor.alabama.gov/newsroom/2020/03/state-of-emergency-coronavirus-covid-19/,1,State of Emergency
Alabama,,,state,2020-04-04,https://governor.alabama.gov/assets/2020/04/2020_04_03_20-Revised-SOE.pdf,2,Stay at Home
Alabama,,Birmingham,city,2020-03-24,https://www.birminghamal.gov/wp-content/uploads/2020/03/2020.3.24.City-of-Birmingham.Shelter-In-Place-Ordinance.pdf,2,Shelter in Place
Alaska,,,state,2020-03-11,https://gov.alaska.gov/wp-content/uploads/sites/2/COVID-19-Disaster-Packet.pdf,1,Public Health Disaster Emergency
Alaska,,,state,2020-03-28,http://dhss.alaska.gov/News/Documents/press/2020/FAQs_03272020-SOA-COVID-19-Health-Mandate-011-012.pdf,2,Health Mandate 011: Statewide Social-Distancing & Health Mandate 012: Intrastate Travel
Alaska,,,state,2020-04-24,https://gov.alaska.gov/wp-content/uploads/sites/2/COVID-19-Mandate-016-1.pdf,5,Health Mandate 016: Reopen Alaska Responsibly
Alaska,,Anchorage,city,2020-03-22,https://www.muni.org/departments/mayor/pressreleases/documents/eo-03.pdf,2,"""Hunker Down"""
American Samoa,,,state,2020-01-29,https://dehayf5mhw1h7.cloudfront.net/wp-content/uploads/sites/594/2020/01/29143705/DECLARATION-OF-CONTINUED-AND-EXPANDED-PUBLIC-HEALTH-EMERGENCY.pdf,1,Public Health Emergency
American Samoa,,,state,,,2,
American Samoa,,,state,,,3,
Arizona,,,state,2020-03-11,https://azgovernor.gov/sites/default/files/declaraton_0.pdf,1,State of Emergency
Arizona,,,state,2020-03-31,https://azgovernor.gov/sites/default/files/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0.pdf,2,"Stay Home, Stay Healthy, Stay Connected"
Arkansas,,,state,2020-03-11,https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-03._.pdf,1,State of Emergency
Arkansas,,,state,,,2,
Arkansas,,,state,,,3,
California,,,state,2020-03-04,https://www.gov.ca.gov/2020/03/04/governor-newsom-declares-state-of-emergency-to-help-state-prepare-for-broader-spread-of-covid-19/,1,State of Emergency
California,,,state,2020-03-19,https://www.gov.ca.gov/wp-content/uploads/2020/03/EO-N-33-20-COVID-19-HEALTH-ORDER-03.19.2020-002.pdf,2,Executive Order N-33-20
California,Alameda,,county,2020-03-17,https://www.acgov.org/documents/Final-Order-to-Shelter-In-Place.pdf,2,Shelter in Place
California,Contra Costa,,county,2020-03-17,https://cchealth.org/coronavirus/pdf/HO-COVID19-SIP-0316-2020.pdf,2,Shelter in Place
California,Marin,,county,2020-03-17,https://www.marincounty.org/main/county-press-releases/press-releases/2020/cao-covid-serviceadjustments-031720,2,Shelter in Place
California,San Francisco,,county,2020-03-17,https://www.sfdph.org/dph/alerts/files/HealthOrderC19-07-%20Shelter-in-Place.pdf,2,Shelter in Place
California,San Mateo,,county,2020-03-17,https://www.smcgov.org/sites/smcgov.org/files/HO%20Order%20Shelter%20in%20Place%2020200316_0.pdf,2,Shelter in Place
